Species2,Family2,Order2,Avibase.ID2,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,common_name,scientific_name_23
Larus fuscus,Laridae,Charadriiformes,AVIBASE-2D52E3A5,10,4,5,1,4,62.3,23,7.9,15.8,61.5,412.2,235.5,174.5,57.4,147,762.4,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Generalist,Lesser Black-backed Gull,Larus fuscus
Larus glaucescens,Laridae,Charadriiformes,AVIBASE-03AC32BA,4,2,2,0,4,69.8,25.2,9.2,19.7,65.2,411.8,218.2,193.5,53,166,1056.5,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Generalist,Glaucous-winged Gull,Larus glaucescens
Larus glaucoides,Laridae,Charadriiformes,AVIBASE-FB4FCB27,13,6,7,0,8,59,21.7,7.5,15.5,58.3,395.8,216.7,178.1,54.9,157.1,693.3,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Generalist,Iceland Gull,Larus glaucoides
Larus heermanni,Laridae,Charadriiformes,AVIBASE-6996D540,4,2,2,0,4,56.3,18,6,12.2,51.6,336.2,185.8,150.5,55.2,133.2,500,Dunning,NA,NO,NA,NA,Coastal,3,1,Carnivore,Aquatic predator,Aerial,Heermann's Gull,Larus heermanni
Larus hyperboreus,Laridae,Charadriiformes,AVIBASE-A59FA446,8,4,4,0,4,76.5,28.2,11,22.4,71.2,463,240.9,223.7,51.8,188.2,1529,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Omnivore,Generalist,Glaucous Gull,Larus hyperboreus
Larus livens,Laridae,Charadriiformes,AVIBASE-87E74BBF,4,2,2,0,3,70.4,27.1,9.8,19.2,66.8,403.5,187,225,45.7,151,1322,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Omnivore,Generalist,Yellow-footed Gull,Larus livens
Larus marinus,Laridae,Charadriiformes,AVIBASE-E826E9F3,10,4,5,1,3,79.1,28,10.2,23.5,74.2,478.2,248.1,227.2,52.3,185.7,1649.7,Dunning,NA,NO,NA,NA,Coastal,3,2,Omnivore,Omnivore,Terrestrial,Great Black-backed Gull,Larus marinus
Larus michahellis,Laridae,Charadriiformes,AVIBASE-E074D706,4,1,3,0,4,67.6,25.4,8.6,18.2,66,422.8,231.2,191.5,54.6,163,1111.9,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Generalist,Yellow-legged Gull,Larus michahellis
Larus occidentalis,Laridae,Charadriiformes,AVIBASE-575A3E3B,6,4,2,0,5,64.8,23.8,8.5,18.3,64.2,397.5,200.6,193,51,145.2,922.8,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Omnivore,Generalist,Western Gull,Larus occidentalis
Larus pacificus,Laridae,Charadriiformes,AVIBASE-C08157E7,5,1,1,3,4,67.6,26.4,10.3,29.7,71.2,444.2,242.5,203.5,54.4,177.2,1292,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Generalist,Pacific Gull,Larus pacificus
Larus schistisagus,Laridae,Charadriiformes,AVIBASE-456C7FAE,4,2,2,0,4,68.1,24.8,9.2,19.6,68.2,435,231,204,53.1,171.5,1323,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Omnivore,Generalist,Slaty-backed Gull,Larus schistisagus
Leucophaeus atricilla,Laridae,Charadriiformes,AVIBASE-6CDC3C9C,5,2,3,0,4,44.1,17.1,5.1,10.2,44.8,298.4,166.5,123.2,57.3,111.8,307.4,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial,Laughing Gull,Leucophaeus atricilla
Leucophaeus fuliginosus,Laridae,Charadriiformes,AVIBASE-D97BE642,5,2,3,0,4,48.5,19.8,6.9,13.2,51.2,341,185.5,156.2,54.3,139,380,Dunning,NA,NO,NA,NA,Coastal,3,1,Omnivore,Omnivore,Aerial,Lava Gull,Leucophaeus fuliginosus
Leucophaeus modestus,Laridae,Charadriiformes,AVIBASE-804CCA3A,4,2,2,0,4,50.7,19.8,5.1,10.4,46.8,318,176.5,141.5,55.5,116.8,344,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Generalist,Gray Gull,Leucophaeus modestus
Leucophaeus pipixcan,Laridae,Charadriiformes,AVIBASE-57C93A74,5,2,3,0,4,39.8,15,4.6,8.6,39.9,279.4,154.5,123,55.6,95.2,280,Dunning,NA,NO,NA,NA,Coastal,3,3,Omnivore,Omnivore,Generalist,Franklin's Gull,Leucophaeus pipixcan
Leucophaeus scoresbii,Laridae,Charadriiformes,AVIBASE-683C03D9,5,2,3,0,4,43.9,15,7.7,15.6,46.5,323,170,154,52.5,128.6,523.5,Dunning,NA,NO,NA,NA,Marine,3,2,Omnivore,Omnivore,Terrestrial,Dolphin Gull,Leucophaeus scoresbii
Onychoprion aleuticus,Laridae,Charadriiformes,AVIBASE-BEE4F34A,5,2,3,0,4,37.3,23.2,4.1,6.5,17.3,262.2,185,82,69.3,152.4,120,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Aerial,Aleutian Tern,Onychoprion aleuticus
Onychoprion anaethetus,Laridae,Charadriiformes,AVIBASE-E6518B9D,6,3,3,0,4,45.5,28.4,5.4,7.9,20.6,273.6,182,89,67.2,182.8,119.4,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial,Bridled Tern,Onychoprion anaethetus
Onychoprion fuscatus,Laridae,Charadriiformes,AVIBASE-3E7F825D,9,4,5,0,8,47.9,29.3,5.4,8.1,21,280.7,189.1,91.1,67.5,152.1,185.7,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial,Sooty Tern,Onychoprion fuscatus
Onychoprion lunatus,Laridae,Charadriiformes,AVIBASE-1A965D60,5,2,3,0,4,45.3,28.2,5.2,7.6,18.9,261.2,178,81.2,68.6,157.6,120,Updated_literature,BoW,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial,Gray-backed Tern,Onychoprion lunatus
Pagophila eburnea,Laridae,Charadriiformes,AVIBASE-FED91A1F,5,2,2,1,4,45.1,16.5,6.6,11.6,38.7,333.4,201.8,129.2,61,137,550,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial,Ivory Gull,Pagophila eburnea
Phaetusa simplex,Laridae,Charadriiformes,AVIBASE-C3C30D03,5,1,1,3,4,72.1,44.8,8.7,14.5,24.6,291.6,163.8,125.7,56.6,106.6,235,Dunning,NA,NO,NA,NA,Riverine,3,2,Carnivore,Aquatic predator,Aerial,Large-billed Tern,Phaetusa simplex
Rhodostethia rosea,Laridae,Charadriiformes,AVIBASE-4CD353D2,5,2,3,0,4,25.8,10.3,3.6,5.9,29.8,251.2,152.2,100.5,60.1,107.4,187,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Aerial,Ross's Gull,Rhodostethia rosea
Rissa brevirostris,Laridae,Charadriiformes,AVIBASE-58B576ED,5,2,3,0,4,38.2,13.8,5.2,10.8,30,299.8,185.2,112.8,62.2,112.8,377,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial,Red-legged Kittiwake,Rissa brevirostris
Rissa tridactyla,Laridae,Charadriiformes,AVIBASE-FB4D08F0,10,4,5,1,4,44.5,18.8,5.3,10.8,33.9,301,179.1,122.9,59.4,116,416,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial,Black-legged Kittiwake,Rissa tridactyla
Rynchops albicollis,Laridae,Charadriiformes,AVIBASE-88151F23,4,2,2,0,4,84.9,66.6,6.3,21.9,26,371.8,257.8,114,69.3,108.5,164,Inferred,NA,YES,Body Mass,Rynchops flavirostris,Riverine,3,2,Carnivore,Aquatic predator,Aerial,Indian Skimmer,Rynchops albicollis
Rynchops flavirostris,Laridae,Charadriiformes,AVIBASE-907B1140,4,2,2,0,4,83.7,66.1,6.1,20.8,27.6,332,216.8,115.2,65.2,109.5,164,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Aerial,African Skimmer,Rynchops flavirostris
Rynchops niger,Laridae,Charadriiformes,AVIBASE-88AB027C,6,3,3,0,4,83.7,69.4,7.4,25.1,32.3,365.7,246.5,119.2,67.4,130.5,297.7,Dunning,NA,NO,NA,NA,Riverine,3,2,Carnivore,Aquatic predator,Aerial,Black Skimmer,Rynchops niger
Saundersilarus saundersi,Laridae,Charadriiformes,AVIBASE-88BBD516,5,2,3,0,4,33.3,15.3,4.4,9.3,38.9,274.2,164.5,105.8,60.9,95.6,198,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Generalist,Saunders's Gull,Saundersilarus saundersi
Sterna acuticauda,Laridae,Charadriiformes,AVIBASE-807E1277,6,2,4,0,4,40.7,27,4.2,6.8,14.1,223.8,153.8,74.2,67.4,145.5,153,Inferred,NA,YES,Body Mass,Sterna trudeaui,Riverine,3,2,Carnivore,Aquatic predator,Aerial,Black-bellied Tern,Sterna acuticauda
Sterna aurantia,Laridae,Charadriiformes,AVIBASE-A874F334,5,2,2,1,4,43.5,28,5.6,10.4,20.3,262.2,166.8,97.8,63,168.2,209,Inferred,NA,YES,Body Mass,Thalasseus bengalensis,Riverine,3,2,Carnivore,Aquatic predator,Aerial,River Tern,Sterna aurantia
Sterna dougallii,Laridae,Charadriiformes,AVIBASE-74236837,5,2,3,0,4,45.3,28.9,3.6,7,19.7,223.8,156,69.8,69.1,165.8,112,Dunning,NA,NO,NA,NA,Marine,3,3,Carnivore,Aquatic predator,Aerial,Roseate Tern,Sterna dougallii
Sterna forsteri,Laridae,Charadriiformes,AVIBASE-D13B9122,5,2,3,0,4,45.3,28,4.9,8.8,24.3,252.6,173.5,79,68.7,131.4,149,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Aerial,Forster's Tern,Sterna forsteri
Sterna hirundinacea,Laridae,Charadriiformes,AVIBASE-ECAE1DA1,5,2,3,0,4,49.9,29.8,4.4,8.7,21.5,296.6,202.8,93.2,68.4,171.6,188,Dunning,NA,NO,NA,NA,Marine,3,3,Carnivore,Aquatic predator,Aerial,South American Tern,Sterna hirundinacea
Sterna hirundo,Laridae,Charadriiformes,AVIBASE-4D2FF6F1,14,7,6,1,8,44.5,24.2,3.8,7,19.5,253.3,170.6,82.6,67.3,129.8,129.2,Dunning,NA,NO,NA,NA,Marine,3,3,Carnivore,Aquatic predator,Aerial,Common Tern,Sterna hirundo
Sterna paradisaea,Laridae,Charadriiformes,AVIBASE-BDC5CF80,9,4,5,0,4,37.8,22.8,3.8,7,16.1,262.7,181.1,80.9,69.1,179.6,110,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Aerial,Arctic Tern,Sterna paradisaea
Sterna repressa,Laridae,Charadriiformes,AVIBASE-CF5C013D,5,2,3,0,4,40.6,25.5,3.8,6.4,18.2,241.4,166.2,74.8,69,136,90,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Aerial,White-cheeked Tern,Sterna repressa
Sterna striata,Laridae,Charadriiformes,AVIBASE-E1F9123B,5,2,2,1,4,51.3,33.1,4.1,7.7,20.9,273.8,188.5,84.5,69,170,129,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Aerial,White-fronted Tern,Sterna striata
Sterna sumatrana,Laridae,Charadriiformes,AVIBASE-9D6704AC,4,2,2,0,4,39.1,25,3.5,6,18.5,215.5,142,73.5,65.9,120.5,106,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial,Black-naped Tern,Sterna sumatrana
Sterna trudeaui,Laridae,Charadriiformes,AVIBASE-98FBF9CA,5,2,3,0,4,47.8,29.8,5,8.4,24,256.2,180.8,77,70.1,132.6,153,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Aerial,Snowy-crowned Tern,Sterna trudeaui
Sterna virgata,Laridae,Charadriiformes,AVIBASE-754993F1,5,0,1,4,4,33.1,17.2,3.9,6.5,17.6,249.8,171,77.2,68.8,124.4,126,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial,Kerguelen Tern,Sterna virgata
Sterna vittata,Laridae,Charadriiformes,AVIBASE-E9C409B5,5,1,2,2,4,38.9,22.8,4.2,7.4,17.7,260,178.5,84,68,133.2,139,Dunning,NA,NO,NA,NA,Marine,3,3,Carnivore,Aquatic predator,Aerial,Antarctic Tern,Sterna vittata
Sternula albifrons,Laridae,Charadriiformes,AVIBASE-17310BF0,5,3,2,0,4,33.5,22.9,3.2,5.8,15.4,169.6,117,50.5,69.8,80,57,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Aerial,Little Tern,Sternula albifrons
Sternula antillarum,Laridae,Charadriiformes,AVIBASE-BE78E765,8,4,4,0,8,29.5,19.8,3.1,5.6,14.6,165.1,114.2,51,69.1,77.8,45.9,Dunning,NA,NO,NA,NA,Marine,3,3,Carnivore,Aquatic predator,Aerial,Least Tern,Sternula antillarum
Sternula balaenarum,Laridae,Charadriiformes,AVIBASE-9F9A13D8,5,2,3,0,4,32.7,22.1,3.1,5.5,13.7,169.4,117.5,51.2,69.6,67,60,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Aerial,Damara Tern,Sternula balaenarum
Sternula lorata,Laridae,Charadriiformes,AVIBASE-F9A32D38,4,2,2,0,4,34.7,22.3,2.9,5.1,13.7,173.5,118.6,54.9,68.4,73.8,53.8,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Aerial,Peruvian Tern,Sternula lorata
Sternula nereis,Laridae,Charadriiformes,AVIBASE-67D8B0BA,5,3,1,1,4,35.3,23.5,3.5,6.5,15.1,178.2,126,54,70,80.6,72.3,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Aerial,Australian Fairy Tern,Sternula nereis
Sternula saundersi,Laridae,Charadriiformes,AVIBASE-4B21F4D8,5,2,3,0,4,31.1,20.3,3.1,5.5,15.3,168,119.8,47.2,71.7,68.2,42.5,Updated_literature,BoW,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Aerial,Saunders's Tern,Sternula saundersi
Sternula superciliaris,Laridae,Charadriiformes,AVIBASE-8B4BBC2A,5,3,2,0,4,38,22.9,4.3,6.6,16,169,109.2,59.8,64.7,61.7,46.4,Dunning,NA,NO,NA,NA,Riverine,3,1,Carnivore,Aquatic predator,Aerial,Yellow-billed Tern,Sternula superciliaris
Thalasseus albididorsalis,Laridae,Charadriiformes,AVIBASE-CF8461BF,0,0,0,0,0,73.5,45.5,8.4,14.9,32.7,364.3,224.1,141,61.4,154.3,415.3,Inferred,NA,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length; Body Mass,Thalasseus maximus,Marine,3,3,Carnivore,Aquatic predator,Aerial,West African Crested Tern,Thalasseus albididorsalis
Thalasseus bengalensis,Laridae,Charadriiformes,AVIBASE-D01CDECD,5,2,3,0,4,58.5,39.4,5.8,9.8,24.5,293.2,206,90.2,69.4,134.4,209,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Aerial,Lesser Crested Tern,Thalasseus bengalensis
Thalasseus bergii,Laridae,Charadriiformes,AVIBASE-526978C4,5,3,2,0,4,68.6,44.5,7.1,12.7,30,357.8,249,107.5,69.9,172.4,328,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Aerial,Great Crested Tern,Thalasseus bergii
Thalasseus bernsteini,Laridae,Charadriiformes,AVIBASE-FCEF84DC,7,1,5,1,7,59.9,41.7,7.1,11.7,29.8,319.1,213.9,105.3,67,160.7,284,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Aerial,Chinese Crested Tern,Thalasseus bernsteini
Thalasseus elegans,Laridae,Charadriiformes,AVIBASE-3F9E1C51,5,2,3,0,4,64.4,44.6,5.8,10.3,28.2,296.6,194.5,97.5,66.6,126.6,260,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Aerial,Elegant Tern,Thalasseus elegans
Thalasseus maximus,Laridae,Charadriiformes,AVIBASE-719935EF,9,4,4,1,8,73.5,45.5,8.4,14.9,32.7,364.3,224.1,141,61.4,154.3,415.3,Dunning,NA,NO,NA,NA,Marine,3,3,Carnivore,Aquatic predator,Aerial,Royal Tern,Thalasseus maximus
Thalasseus sandvicensis,Laridae,Charadriiformes,AVIBASE-F7504353,14,4,5,5,12,60.5,40.5,5.5,9.7,25.5,288.5,201,88.9,69.3,129,199.8,Dunning,NA,NO,NA,NA,Marine,3,3,Carnivore,Aquatic predator,Aerial,Sandwich Tern,Thalasseus sandvicensis
Xema sabini,Laridae,Charadriiformes,AVIBASE-86182656,7,3,4,0,4,32.1,13.4,4.4,7.7,33.3,265,156.8,107.2,59.4,114.4,198,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Generalist,Sabine's Gull,Xema sabini
Pedionomus torquatus,Pedionomidae,Charadriiformes,AVIBASE-1CE50BE8,5,3,2,0,3,16.2,7.5,3.4,3.9,24.4,89,26.1,59.7,30.6,26.8,62.5,Dunning,NA,NO,NA,NA,Grassland,3,1,Omnivore,Omnivore,Terrestrial,Plains-wanderer,Pedionomus torquatus
Pluvianellus socialis,Pluvianellidae,Charadriiformes,AVIBASE-FB5103C9,7,3,3,1,6,17.3,11,3,3.4,19.8,135.7,70.8,65.7,51.9,58.4,84.1,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Terrestrial,Magellanic Plover,Pluvianellus socialis
Pluvianus aegyptius,Pluvianidae,Charadriiformes,AVIBASE-1B28A4B6,7,4,3,0,4,22.8,12.8,4.7,5.8,34.4,129.9,51.9,80.6,39.2,58,82,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,Egyptian Plover,Pluvianus aegyptius
Cladorhynchus leucocephalus,Recurvirostridae,Charadriiformes,AVIBASE-9A90A865,5,0,0,5,3,72.2,57.2,4.4,4,82.8,196.4,102.3,94.5,52,77.4,216,Dunning,NA,NO,NA,NA,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,Banded Stilt,Cladorhynchus leucocephalus
Himantopus himantopus,Recurvirostridae,Charadriiformes,AVIBASE-3CAEB7CE,5,2,3,0,4,64.7,47.1,4.3,4.6,115.8,225.6,115.5,105.2,52.2,78.6,176.8,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,Black-winged Stilt,Himantopus himantopus
Himantopus leucocephalus,Recurvirostridae,Charadriiformes,AVIBASE-C2830C86,5,1,3,1,4,64.6,48.9,4.7,4.9,116,222,118.5,104.8,53,70.2,176.8,DataFromSplit,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,Pied Stilt,Himantopus leucocephalus
Himantopus mexicanus,Recurvirostridae,Charadriiformes,AVIBASE-D543132B,11,5,6,0,8,66.6,50.1,4.5,4.7,106.7,223.7,117.5,109.1,51.9,73.6,176.8,DataFromSplit,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,Black-necked Stilt,Himantopus mexicanus
Himantopus novaezelandiae,Recurvirostridae,Charadriiformes,AVIBASE-C26304D6,4,2,2,0,4,72.4,52.6,4.5,4.9,89.3,241.8,124.9,116.9,51.6,78.2,195,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,Black Stilt,Himantopus novaezelandiae
Recurvirostra americana,Recurvirostridae,Charadriiformes,AVIBASE-8EB0C1FA,5,2,3,0,4,91.2,73.9,6.6,5.2,92,218.2,104.4,113.8,47.8,81.8,304.5,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,American Avocet,Recurvirostra americana
Recurvirostra andina,Recurvirostridae,Charadriiformes,AVIBASE-30CBE57B,4,3,1,0,4,79,65.4,5.8,4.4,85.2,238.8,91.1,147.7,38.1,91.2,361,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,Andean Avocet,Recurvirostra andina
Recurvirostra avosetta,Recurvirostridae,Charadriiformes,AVIBASE-C73ED2F5,7,3,3,1,4,83.7,69.8,6.4,4.7,86.9,217.9,107.8,109.2,49.7,79.4,304,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,Pied Avocet,Recurvirostra avosetta
Recurvirostra novaehollandiae,Recurvirostridae,Charadriiformes,AVIBASE-DDFB54DB,4,2,2,0,4,93.5,78.5,6.3,4.5,89.4,225,114.2,110.8,50.8,80.2,325,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,Red-necked Avocet,Recurvirostra novaehollandiae
Nycticryphes semicollaris,Rostratulidae,Charadriiformes,AVIBASE-585E1D52,8,4,4,0,4,42.7,34.1,3.6,5.5,33.5,102.9,31.8,69.7,31.4,46.4,76.6,Dunning,NA,NO,NA,NA,Wetland,1,2,Omnivore,Aquatic predator,Terrestrial,South American Painted-Snipe,Nycticryphes semicollaris
Rostratula australis,Rostratulidae,Charadriiformes,AVIBASE-8CB3B219,7,3,4,0,4,48.1,38.2,3.9,6.3,40,139,42.4,92.1,31.6,49.1,121,Dunning,NA,NO,NA,NA,Wetland,1,2,Omnivore,Aquatic predator,Terrestrial,Australian Painted-Snipe,Rostratula australis
Rostratula benghalensis,Rostratulidae,Charadriiformes,AVIBASE-7516E687,8,3,5,0,4,52,39.8,4.3,6.7,44.4,127.6,38.5,83.5,31.6,42,121,Dunning,NA,NO,NA,NA,Wetland,1,2,Omnivore,Aquatic predator,Terrestrial,Greater Painted-Snipe,Rostratula benghalensis
Actitis hypoleucos,Scolopacidae,Charadriiformes,AVIBASE-8548B07E,11,2,3,6,4,30.1,19.9,3.1,4,22.4,109.9,51.1,55.4,48,57.4,48,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,Common Sandpiper,Actitis hypoleucos
Actitis macularius,Scolopacidae,Charadriiformes,AVIBASE-0D88C072,5,3,2,0,4,25.7,16.2,2.7,3.3,24.2,100.4,47.6,52.6,47.5,53,40.4,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,Spotted Sandpiper,Actitis macularius
Arenaria interpres,Scolopacidae,Charadriiformes,AVIBASE-DC3050A9,10,5,5,0,4,25.4,15.7,3.9,5.5,25.5,148.8,83.4,66.4,55.6,61,136,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Terrestrial,Ruddy Turnstone,Arenaria interpres
Arenaria melanocephala,Scolopacidae,Charadriiformes,AVIBASE-0413ED30,5,2,3,0,4,25.4,15.2,3.8,5,25.8,142,72.5,69.5,51.1,61.2,126.2,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Terrestrial,Black Turnstone,Arenaria melanocephala
Bartramia longicauda,Scolopacidae,Charadriiformes,AVIBASE-BF1DA86E,5,2,3,0,4,32.9,21.5,3.4,3.8,48.7,159,83.7,74.8,52.9,79.4,158.9,Dunning,NA,NO,NA,NA,Grassland,3,3,Carnivore,Invertivore,Terrestrial,Upland Sandpiper,Bartramia longicauda
Calidris acuminata,Scolopacidae,Charadriiformes,AVIBASE-A0A67A81,5,2,3,0,4,27.4,20.5,2.8,3.9,28.7,128.8,70.4,58.6,54.5,53.4,66.1,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,Sharp-tailed Sandpiper,Calidris acuminata
Calidris alba,Scolopacidae,Charadriiformes,AVIBASE-06B9BD24,5,2,3,0,4,30,21.2,3.4,4.2,23.1,119.6,62.7,57,52.3,50.2,51.7,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Terrestrial,Sanderling,Calidris alba
Calidris alpina,Scolopacidae,Charadriiformes,AVIBASE-15369E8E,10,5,5,0,4,36.9,28.1,2.9,4.3,24.7,115.1,61.6,53.7,53.4,48.6,51.9,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,Dunlin,Calidris alpina
Calidris bairdii,Scolopacidae,Charadriiformes,AVIBASE-1F1AD154,5,2,3,0,4,25.5,19.3,2.7,3.9,22,121.8,66.7,54,55.2,50,41,Dunning,NA,NO,NA,NA,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,Baird's Sandpiper,Calidris bairdii
Calidris canutus,Scolopacidae,Charadriiformes,AVIBASE-B5CE8FAD,9,4,5,0,4,37.5,26.6,4.1,5.7,29.9,164.4,95.2,69.1,57.9,60.4,141.9,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Terrestrial,Red Knot,Calidris canutus
Calidris falcinellus,Scolopacidae,Charadriiformes,AVIBASE-0A14882F,5,2,3,0,4,32.8,26.6,3.7,4.4,21.1,99.2,53.8,46,53.9,36.6,37.1,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,Broad-billed Sandpiper,Calidris falcinellus
Calidris ferruginea,Scolopacidae,Charadriiformes,AVIBASE-143A681C,5,2,3,0,4,38.5,31.6,3.2,4.3,29.1,129,70.5,58,54.9,48.6,58.1,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Aquatic predator,Terrestrial,Curlew Sandpiper,Calidris ferruginea
Calidris fuscicollis,Scolopacidae,Charadriiformes,AVIBASE-153BA306,5,2,3,0,4,26.5,18.8,2.9,4,23.6,118.4,64,54.3,54,47.8,43,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,White-rumped Sandpiper,Calidris fuscicollis
Calidris himantopus,Scolopacidae,Charadriiformes,AVIBASE-ECDE73F2,5,2,3,0,4,43,35,2.8,4.8,40,126.8,66,60.5,52.2,49.6,57.2,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,Stilt Sandpiper,Calidris himantopus
Calidris maritima,Scolopacidae,Charadriiformes,AVIBASE-0A0B8431,5,3,2,0,4,33.3,25.2,3.7,4.9,21.9,121,61,59.8,50.5,55.4,65.1,Dunning,NA,NO,NA,NA,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,Purple Sandpiper,Calidris maritima
Calidris mauri,Scolopacidae,Charadriiformes,AVIBASE-01060BFD,5,2,3,0,4,21,15.8,2.3,3.5,21,92.2,45.5,47.5,49,38.4,27.8,Dunning,NA,NO,NA,NA,Shrubland,3,3,Carnivore,Aquatic predator,Terrestrial,Western Sandpiper,Calidris mauri
Calidris melanotos,Scolopacidae,Charadriiformes,AVIBASE-ACC99F35,5,3,0,2,4,32.1,23.1,3.4,4.8,26,125.2,67.1,58.6,53.4,54.4,79.7,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,Pectoral Sandpiper,Calidris melanotos
