Species common name,nest_height,scientific_name,common_name
Alpine Mannikin,NA,Lonchura monticola,Alpine Mannikin
Alpine Pipit,NA,Anthus gutturalis,Alpine Pipit
Alpine Swift,NA,Tachymarptis melba,Alpine Swift
Alpine Thrush,NA,Zoothera mollissima,Alpine Thrush
Alström's Warbler,NA,Phylloscopus soror,Alström's Warbler
Altai Accentor,0,Prunella himalayana,Altai Accentor
Altai Snowcock,0,Tetraogallus altaicus,Altai Snowcock
Altamira Oriole,16.3,Icterus gularis,Altamira Oriole
Altamira Yellowthroat,NA,Geothlypis flavovelata,Altamira Yellowthroat
Amami Jay,7.5,Garrulus lidthi,Amami Jay
Amami Thrush,NA,Zoothera major,Amami Thrush
Amami Woodcock,NA,Scolopax mira,Amami Woodcock
Amami Woodpecker,NA,Dendrocopos owstoni,Amami Woodpecker
Amani Sunbird,14,Hedydipna pallidigaster,Amani Sunbird
Amaui,NA,Myadestes woahensis,Amaui
Amazilia Hummingbird,2.25,Amazilia amazilia,Amazilia Hummingbird
Amazon Kingfisher,NA,Chloroceryle amazona,Amazon Kingfisher
Amazonian Antpitta,NA,Hylopezus berlepschi,Amazonian Antpitta
Amazonian Antshrike,2.5,Thamnophilus amazonicus,Amazonian Antshrike
Amazonian Barred Woodcreeper,3,Dendrocolaptes certhia,Amazonian Barred Woodcreeper
Amazonian Black-breasted Woodpecker,NA,Celeus occidentalis,Amazonian Black-breasted Woodpecker
Amazonian Black-tyrant,1.5,Knipolegus poecilocercus,Amazonian Black-tyrant
Amazonian Grey Elaenia,NA,Myiopagis cinerea,Amazonian Grey Elaenia
Amazonian Grey Saltator,3.7,Saltator coerulescens,Amazonian Grey Saltator
Amazonian Grosbeak,2.5,Cyanoloxia rothschildii,Amazonian Grosbeak
Amazonian Motmot,0,Momotus momota,Amazonian Motmot
Amazonian Oropendola,NA,Psarocolius yuracares,Amazonian Oropendola
Amazonian Parrotlet,NA,Nannopsittaca dachilleae,Amazonian Parrotlet
Amazonian Pygmy-owl,37.5,Glaucidium hardyi,Amazonian Pygmy-owl
Amazonian Royal Flycatcher,5.4,Onychorhynchus coronatus,Amazonian Royal Flycatcher
Amazonian Scrub-flycatcher,12,Sublegatus obscurior,Amazonian Scrub-flycatcher
Amazonian Streaked Antwren,1.9,Myrmotherula multostriata,Amazonian Streaked Antwren
Amazonian Tyrannulet,NA,Inezia subflava,Amazonian Tyrannulet
Amazonian Umbrellabird,9.8,Cephalopterus ornatus,Amazonian Umbrellabird
Amazonian Woodhaunter,NA,Automolus subulatus,Amazonian Woodhaunter
Amber Mountain Rock-thrush,NA,Monticola erythronotus,Amber Mountain Rock-thrush
Ambon White-eye,NA,Zosterops kuehni,Ambon White-eye
American Avocet,0,Recurvirostra americana,American Avocet
American Bittern,0.1,Botaurus lentiginosus,American Bittern
American Black Duck,13.5,Anas rubripes,American Black Duck
American Black Vulture,NA,Coragyps atratus,American Black Vulture
American Bushtit,16,Psaltriparus minimus,American Bushtit
American Comb Duck,NA,Sarkidiornis sylvicola,American Comb Duck
American Coot,NA,Fulica americana,American Coot
American Crow,35.4,Corvus brachyrhynchos,American Crow
American Dipper,4,Cinclus mexicanus,American Dipper
American Dusky Flycatcher,3.625,Empidonax oberholseri,American Dusky Flycatcher
American Flamingo,0,Phoenicopterus ruber,American Flamingo
American Golden Plover,0,Pluvialis dominica,American Golden Plover
American Goldfinch,NA,Spinus tristis,American Goldfinch
American Grey Flycatcher,5.7,Empidonax wrightii,American Grey Flycatcher
American Kestrel,14.299999999999999,Falco sparverius,American Kestrel
American Oystercatcher,0,Haematopus palliatus,American Oystercatcher
American Pygmy-kingfisher,NA,Chloroceryle aenea,American Pygmy-kingfisher
American Redstart,10.15,Setophaga ruticilla,American Redstart
American Robin,16.5,Turdus migratorius,American Robin
American Tree Sparrow,0.6,Passerella arborea,American Tree Sparrow
American Treecreeper,9.649999999999999,Certhia americana,American Treecreeper
American White Pelican,0,Pelecanus erythrorhynchos,American White Pelican
American Wigeon,0,Mareca americana,American Wigeon
American Woodcock,0,Scolopax minor,American Woodcock
American Yellow Warbler,7.5,Setophaga petechia,American Yellow Warbler
Amethyst Brown-dove,NA,Phapitreron amethystinus,Amethyst Brown-dove
Amethyst Sunbird,5,Chalcomitra amethystina,Amethyst Sunbird
Amethyst Woodstar,22.5,Calliphlox amethystina,Amethyst Woodstar
Amethyst-throated Hummingbird,2.4,Lampornis amethystinus,Amethyst-throated Hummingbird
Amethyst-throated Sunangel,2.25,Heliangelus amethysticollis,Amethyst-throated Sunangel
Amsterdam Albatross,0,Diomedea amsterdamensis,Amsterdam Albatross
Amsterdam Duck,NA,Anas marecula,Amsterdam Duck
Amur Falcon,NA,Falco amurensis,Amur Falcon
Anambra Waxbill,NA,Estrilda poliopareia,Anambra Waxbill
Ancash Tapaculo,NA,Scytalopus affinis,Ancash Tapaculo
Anchieta's Barbet,7,Stactolaema anchietae,Anchieta's Barbet
Anchieta's Sunbird,NA,Anthreptes anchietae,Anchieta's Sunbird
Ancient Antwren,NA,Herpsilochmus gentryi,Ancient Antwren
Ancient Murrelet,NA,Synthliboramphus antiquus,Ancient Murrelet
Andaman Boobook,NA,Ninox affinis,Andaman Boobook
Andaman Bulbul,NA,Brachypodius fuscoflavescens,Andaman Bulbul
Andaman Coucal,NA,Centropus andamanensis,Andaman Coucal
Andaman Crake,NA,Rallina canningi,Andaman Crake
