species_code,scientific_name,common_name,order,family,family_common,category,taxon_order,report_as,extinct,lookup_species
bkcchi,Poecile atricapillus,Black-capped Chickadee,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",species,21676,NA,FALSE,Poecile atricapillus
carchi,Poecile carolinensis,Carolina Chickadee,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",species,21671,NA,FALSE,Poecile carolinensis
buggna,Polioptila caerulea,Blue-gray Gnatcatcher,Passeriformes,Polioptilidae,Gnatcatchers,species,26669,NA,FALSE,Polioptila caerulea
purmar,Progne subis,Purple Martin,Passeriformes,Hirundinidae,Swallows,species,23666,NA,FALSE,Progne subis
prowar,Protonotaria citrea,Prothonotary Warbler,Passeriformes,Parulidae,New World Warblers,species,33436,NA,FALSE,Protonotaria citrea
gockin,Regulus satrapa,Golden-crowned Kinglet,Passeriformes,Regulidae,Kinglets,species,26395,NA,FALSE,Regulus satrapa
easpho,Sayornis phoebe,Eastern Phoebe,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,16697,NA,FALSE,Sayornis phoebe
amewoo,Scolopax minor,American Woodcock,Charadriiformes,Scolopacidae,Sandpipers and Allies,species,6031,NA,FALSE,Scolopax minor
ovenbi1,Seiurus aurocapilla,Ovenbird,Passeriformes,Parulidae,New World Warblers,species,33419,NA,FALSE,Seiurus aurocapilla
norpar,Setophaga americana,Northern Parula,Passeriformes,Parulidae,New World Warblers,species,33534,NA,FALSE,Setophaga americana
btbwar,Setophaga caerulescens,Black-throated Blue Warbler,Passeriformes,Parulidae,New World Warblers,species,33604,NA,FALSE,Setophaga caerulescens
babwar,Setophaga castanea,Bay-breasted Warbler,Passeriformes,Parulidae,New World Warblers,species,33554,NA,FALSE,Setophaga castanea
cerwar,Setophaga cerulea,Cerulean Warbler,Passeriformes,Parulidae,New World Warblers,species,33532,NA,FALSE,Setophaga cerulea
hoowar,Setophaga citrina,Hooded Warbler,Passeriformes,Parulidae,New World Warblers,species,33528,NA,FALSE,Setophaga citrina
yerwar,Setophaga coronata,Yellow-rumped Warbler,Passeriformes,Parulidae,New World Warblers,species,33622,NA,FALSE,Setophaga coronata
yetwar,Setophaga dominica,Yellow-throated Warbler,Passeriformes,Parulidae,New World Warblers,species,33631,NA,FALSE,Setophaga dominica
bkbwar,Setophaga fusca,Blackburnian Warbler,Passeriformes,Parulidae,New World Warblers,species,33555,NA,FALSE,Setophaga fusca
magwar,Setophaga magnolia,Magnolia Warbler,Passeriformes,Parulidae,New World Warblers,species,33550,NA,FALSE,Setophaga magnolia
palwar,Setophaga palmarum,Palm Warbler,Passeriformes,Parulidae,New World Warblers,species,33611,NA,FALSE,Setophaga palmarum
chswar,Setophaga pensylvanica,Chestnut-sided Warbler,Passeriformes,Parulidae,New World Warblers,species,33599,NA,FALSE,Setophaga pensylvanica
pinwar,Setophaga pinus,Pine Warbler,Passeriformes,Parulidae,New World Warblers,species,33616,NA,FALSE,Setophaga pinus
amered,Setophaga ruticilla,American Redstart,Passeriformes,Parulidae,New World Warblers,species,33529,NA,FALSE,Setophaga ruticilla
bkpwar,Setophaga striata,Blackpoll Warbler,Passeriformes,Parulidae,New World Warblers,species,33601,NA,FALSE,Setophaga striata
camwar,Setophaga tigrina,Cape May Warbler,Passeriformes,Parulidae,New World Warblers,species,33531,NA,FALSE,Setophaga tigrina
btnwar,Setophaga virens,Black-throated Green Warbler,Passeriformes,Parulidae,New World Warblers,species,33675,NA,FALSE,Setophaga virens
easblu,Sialia sialis,Eastern Bluebird,Passeriformes,Turdidae,Thrushes and Allies,species,27662,NA,FALSE,Sialia sialis
rebnut,Sitta canadensis,Red-breasted Nuthatch,Passeriformes,Sittidae,Nuthatches,species,26484,NA,FALSE,Sitta canadensis
whbnut,Sitta carolinensis,White-breasted Nuthatch,Passeriformes,Sittidae,Nuthatches,species,26436,NA,FALSE,Sitta carolinensis
bnhnut,Sitta pusilla,Brown-headed Nuthatch,Passeriformes,Sittidae,Nuthatches,species,26479,NA,FALSE,Sitta pusilla
yebsap,Sphyrapicus varius,Yellow-bellied Sapsucker,Piciformes,Picidae,Woodpeckers,species,10907,NA,FALSE,Sphyrapicus varius
pinsis,Spinus pinus,Pine Siskin,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32073,NA,FALSE,Spinus pinus
amegfi,Spinus tristis,American Goldfinch,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,32095,NA,FALSE,Spinus tristis
